Data;Regiao;Vendedor;Secao;Vendas;Total com imposto
13/02/2010;Nordeste;Carolina;Eletrônicos;2592,96;3111,55
15/02/2010;Sudeste;João Carlos;Cine e Foto;4785,79;5742,95
15/02/2010;Sul;Simone;Casa e Construção;4427,87;5313,44
16/02/2010;Sul;Roberto;Eletrônicos;3420,61;4104,73
16/02/2010;Leste;Ricardo;Utilidades Domésticas;1250,81;1500,97
17/02/2010;Sudeste;Ricardo;Utilidades Domésticas;2033,53;2440,24
17/02/2010;Norte;Ricardo;Cine e Foto;2015,16;2418,19
17/02/2010;Centro;Adriana;Eletrônicos;3431,01;4117,21
18/02/2010;Centro;Simone;Utilidades Domésticas;4502,80;5403,36
18/02/2010;Norte;João Carlos;Roupas e Acessórios;4527,20;5432,64
19/02/2010;Nordeste;Roberto;Eletrodomésticos;3041,97;3650,36
21/02/2010;Centro;João Carlos;Utilidades Domésticas;4063,99;4876,79
21/02/2010;Oeste;Ricardo;Eletrônicos;434,65;521,58
21/02/2010;Centro;Adriana;Eletrônicos;1006,11;1207,33
21/02/2010;Sul;Ricardo;Esporte e Lazer;3427,76;4113,31
26/02/2010;Norte;Ricardo;Casa e Construção;4433,51;5320,21
27/02/2010;Sudeste;Ana Maria;Casa e Construção;2827,28;3392,74
27/02/2010;Sudeste;João Carlos;Casa e Construção;2852,32;3422,78
28/02/2010;Centro;Carolina;Cama, Mesa e Banho;3245,26;3894,31
28/02/2010;Centro;Carolina;Esporte e Lazer;2438,41;2926,09
01/03/2010;Nordeste;Ricardo;Cama, Mesa e Banho;4169,38;5003,26
01/03/2010;Leste;Ricardo;Esporte e Lazer;1820,60;2184,72
01/03/2010;Oeste;Ricardo;Móveis e Decoração;1982,63;2379,16
01/03/2010;Sul;Ricardo;Cine e Foto;2911,14;3493,37
02/03/2010;Sul;João Carlos;Eletrônicos;749,42;899,30
02/03/2010;Centro;Carolina;Cama, Mesa e Banho;2598,33;3118,00
03/03/2010;Nordeste;João Carlos;Eletrônicos;2501,77;3002,12
04/03/2010;Centro;Ricardo;Esporte e Lazer;4227,02;5072,42
05/03/2010;Centro;Ana Maria;Eletrodomésticos;3063,11;3675,73
05/03/2010;Centro;Carolina;Roupas e Acessórios;4289,13;5146,96
05/03/2010;Sudeste;Adriana;Utilidades Domésticas;4821,01;5785,21
05/03/2010;Oeste;Ricardo;Móveis e Decoração;233,04;279,65
06/03/2010;Sul;Ricardo;Roupas e Acessórios;2480,03;2976,04
08/03/2010;Centro;Ricardo;Eletrodomésticos;2316,82;2780,18
08/03/2010;Nordeste;José Luiz;Eletrônicos;368,35;442,02
10/03/2010;Norte;João Carlos;Eletrônicos;4332,31;5198,77
11/03/2010;Sudeste;Carolina;Utilidades Domésticas;3923,18;4707,82
11/03/2010;Norte;Ana Maria;Eletrodomésticos;2039,08;2446,90
11/03/2010;Oeste;Ricardo;Esporte e Lazer;828,14;993,77
12/03/2010;Sudeste;Carolina;Esporte e Lazer;3014,41;3617,29
12/03/2010;Nordeste;Carolina;Cine e Foto;376,41;451,69
14/03/2010;Sul;Carolina;Utilidades Domésticas;4712,12;5654,54
16/03/2010;Norte;Adriana;Móveis e Decoração;1254,81;1505,77
18/03/2010;Sudeste;Ana Maria;Eletrodomésticos;1478,63;1774,36
18/03/2010;Norte;Simone;Roupas e Acessórios;1187,07;1424,48
19/03/2010;Nordeste;Ana Maria;Eletrodomésticos;305,58;366,70
20/03/2010;Centro;Simone;Cama, Mesa e Banho;829,61;995,53
20/03/2010;Nordeste;João Carlos;Cine e Foto;4803,57;5764,28
20/03/2010;Sul;José Luiz;Utilidades Domésticas;1444,03;1732,84
20/03/2010;Sul;Ricardo;Eletrônicos;2205,99;2647,19
21/03/2010;Sul;Ana Maria;Casa e Construção;4797,13;5756,56
21/03/2010;Sul;Roberto;Esporte e Lazer;3747,44;4496,93
22/03/2010;Sudeste;Ana Maria;Eletrônicos;1179,97;1415,96
22/03/2010;Sudeste;João Carlos;Utilidades Domésticas;1475,02;1770,02
22/03/2010;Leste;Simone;Roupas e Acessórios;3378,07;4053,68
22/03/2010;Sudeste;João Carlos;Casa e Construção;1013,01;1215,61
23/03/2010;Oeste;Carolina;Eletrodomésticos;1711,37;2053,64
23/03/2010;Leste;Ana Maria;Cama, Mesa e Banho;1941,19;2329,43
25/03/2010;Sul;João Carlos;Esporte e Lazer;3462,17;4154,60
25/03/2010;Leste;Ana Maria;Eletrodomésticos;3025,09;3630,11
26/03/2010;Sudeste;José Luiz;Roupas e Acessórios;2692,83;3231,40
26/03/2010;Centro;Roberto;Móveis e Decoração;1655,22;1986,26
27/03/2010;Sul;Ana Maria;Cama, Mesa e Banho;1056,31;1267,57
27/03/2010;Norte;Carolina;Casa e Construção;2832,11;3398,53
27/03/2010;Nordeste;João Carlos;Cine e Foto;931,47;1117,76
29/03/2010;Sul;Simone;Casa e Construção;3209,07;3850,88
29/03/2010;Sudeste;Ricardo;Cama, Mesa e Banho;2127,83;2553,40
30/03/2010;Leste;Ricardo;Casa e Construção;3471,48;4165,78
30/03/2010;Sudeste;Roberto;Móveis e Decoração;2606,85;3128,22
31/03/2010;Nordeste;Carolina;Móveis e Decoração;771,32;925,58
31/03/2010;Sul;João Carlos;Casa e Construção;1225,62;1470,74
31/03/2010;Sudeste;João Carlos;Cine e Foto;308,67;370,40
02/04/2010;Sudeste;José Luiz;Cama, Mesa e Banho;3848,72;4618,46
02/04/2010;Norte;Carolina;Móveis e Decoração;430,13;516,16
03/04/2010;Norte;Carolina;Utilidades Domésticas;815,42;978,50
03/04/2010;Leste;Carolina;Casa e Construção;2981,18;3577,42
05/04/2010;Oeste;João Carlos;Roupas e Acessórios;246,01;295,21
05/04/2010;Oeste;Ricardo;Cine e Foto;2241,81;2690,17
06/04/2010;Oeste;Simone;Roupas e Acessórios;710,98;853,18
06/04/2010;Sul;Ricardo;Esporte e Lazer;1446,37;1735,64
06/04/2010;Centro;Carolina;Esporte e Lazer;2303,66;2764,39
07/04/2010;Nordeste;Ana Maria;Casa e Construção;4768,11;5721,73
07/04/2010;Sudeste;Ana Maria;Cama, Mesa e Banho;3080,76;3696,91
08/04/2010;Oeste;Ricardo;Utilidades Domésticas;1968,14;2361,77
09/04/2010;Centro;João Carlos;Roupas e Acessórios;1164,44;1397,33
12/04/2010;Leste;Roberto;Esporte e Lazer;3386,65;4063,98
12/04/2010;Oeste;Adriana;Eletrodomésticos;747,55;897,06
14/04/2010;Centro;Carolina;Eletrodomésticos;775,84;931,01
14/04/2010;Oeste;João Carlos;Cama, Mesa e Banho;2964,55;3557,46
15/04/2010;Oeste;Ana Maria;Cine e Foto;3105,27;3726,32
15/04/2010;Nordeste;Carolina;Esporte e Lazer;2481,71;2978,05
15/04/2010;Nordeste;João Carlos;Cama, Mesa e Banho;2067,09;2480,51
15/04/2010;Sul;João Carlos;Móveis e Decoração;2836,00;3403,20
16/04/2010;Nordeste;Ana Maria;Casa e Construção;4658,48;5590,18
17/04/2010;Sudeste;Ana Maria;Roupas e Acessórios;3698,73;4438,48
17/04/2010;Norte;João Carlos;Eletrônicos;4914,11;5896,93
17/04/2010;Norte;João Carlos;Casa e Construção;478,72;574,46
19/04/2010;Sudeste;Roberto;Eletrodomésticos;4897,83;5877,40
19/04/2010;Oeste;João Carlos;Roupas e Acessórios;1628,36;1954,03
19/04/2010;Centro;Ricardo;Cine e Foto;3692,04;4430,45
21/04/2010;Nordeste;Simone;Cama, Mesa e Banho;3908,31;4689,97
21/04/2010;Nordeste;Simone;Eletrodomésticos;2126,60;2551,92
22/04/2010;Norte;João Carlos;Utilidades Domésticas;2695,54;3234,65
22/04/2010;Oeste;Ricardo;Cine e Foto;995,75;1194,90
23/04/2010;Centro;João Carlos;Cama, Mesa e Banho;1565,86;1879,03
23/04/2010;Nordeste;Ricardo;Cine e Foto;3334,01;4000,81
25/04/2010;Centro;Carolina;Cama, Mesa e Banho;2832,74;3399,29
25/04/2010;Nordeste;José Luiz;Casa e Construção;3114,01;3736,81
25/04/2010;Oeste;Ricardo;Casa e Construção;3106,62;3727,94
25/04/2010;Sudeste;Ana Maria;Cine e Foto;946,75;1136,10
27/04/2010;Centro;João Carlos;Casa e Construção;388,45;466,14
29/04/2010;Nordeste;Ricardo;Eletrodomésticos;3611,89;4334,27
29/04/2010;Centro;José Luiz;Eletrodomésticos;4243,71;5092,45
29/04/2010;Sul;João Carlos;Eletrônicos;3601,13;4321,36
30/04/2010;Nordeste;Roberto;Cine e Foto;3602,60;4323,12
01/05/2010;Leste;João Carlos;Cine e Foto;1966,86;2360,23
01/05/2010;Centro;João Carlos;Utilidades Domésticas;2562,53;3075,04
02/05/2010;Sul;Carolina;Cine e Foto;2803,60;3364,32
03/05/2010;Centro;João Carlos;Utilidades Domésticas;3105,32;3726,38
03/05/2010;Sudeste;João Carlos;Cine e Foto;3552,79;4263,35
03/05/2010;Sudeste;Adriana;Roupas e Acessórios;1346,21;1615,45
04/05/2010;Centro;Simone;Móveis e Decoração;361,24;433,49
05/05/2010;Sudeste;Carolina;Cine e Foto;914,63;1097,56
05/05/2010;Sudeste;Simone;Utilidades Domésticas;2545,46;3054,55
06/05/2010;Norte;João Carlos;Casa e Construção;3594,21;4313,05
07/05/2010;Sudeste;Roberto;Eletrônicos;459,07;550,88
07/05/2010;Centro;João Carlos;Móveis e Decoração;1279,54;1535,45
08/05/2010;Norte;Ana Maria;Eletrônicos;2084,03;2500,84
08/05/2010;Sudeste;Ana Maria;Eletrônicos;2419,87;2903,84
09/05/2010;Oeste;Ana Maria;Roupas e Acessórios;3607,89;4329,47
10/05/2010;Sudeste;Roberto;Roupas e Acessórios;687,01;824,41
13/05/2010;Centro;Carolina;Móveis e Decoração;1916,95;2300,34
14/05/2010;Sul;Carolina;Cama, Mesa e Banho;1946,89;2336,27
16/05/2010;Centro;João Carlos;Cama, Mesa e Banho;1348,14;1617,77
17/05/2010;Oeste;Carolina;Eletrônicos;231,20;277,44
18/05/2010;Centro;João Carlos;Móveis e Decoração;1309,57;1571,48
19/05/2010;Nordeste;Ana Maria;Eletrônicos;4584,56;5501,47
19/05/2010;Sul;Ana Maria;Cama, Mesa e Banho;1381,97;1658,36
20/05/2010;Sudeste;João Carlos;Esporte e Lazer;2041,60;2449,92
21/05/2010;Oeste;Adriana;Utilidades Domésticas;3632,89;4359,47
21/05/2010;Centro;Ricardo;Casa e Construção;2833,28;3399,94
22/05/2010;Oeste;Carolina;Casa e Construção;3743,85;4492,62
22/05/2010;Nordeste;Carolina;Casa e Construção;2451,99;2942,39
22/05/2010;Oeste;Carolina;Móveis e Decoração;3376,08;4051,30
23/05/2010;Nordeste;Ricardo;Casa e Construção;3644,10;4372,92
23/05/2010;Sudeste;Carolina;Casa e Construção;2550,12;3060,14
24/05/2010;Nordeste;José Luiz;Esporte e Lazer;453,40;544,08
24/05/2010;Nordeste;João Carlos;Cama, Mesa e Banho;436,08;523,30
24/05/2010;Leste;Carolina;Esporte e Lazer;4252,59;5103,11
25/05/2010;Nordeste;Ana Maria;Móveis e Decoração;840,12;1008,14
26/05/2010;Sudeste;João Carlos;Esporte e Lazer;3628,50;4354,20
27/05/2010;Norte;Ricardo;Eletrodomésticos;546,72;656,06
27/05/2010;Sudeste;José Luiz;Roupas e Acessórios;369,86;443,83
27/05/2010;Sudeste;Roberto;Eletrodomésticos;2381,40;2857,68
28/05/2010;Oeste;Carolina;Móveis e Decoração;1444,25;1733,10
28/05/2010;Sudeste;Carolina;Casa e Construção;961,35;1153,62
29/05/2010;Centro;Carolina;Eletrônicos;1732,83;2079,40
29/05/2010;Leste;Carolina;Cine e Foto;2603,32;3123,98
30/05/2010;Nordeste;Ricardo;Roupas e Acessórios;765,32;918,38
30/05/2010;Oeste;Adriana;Eletrodomésticos;4379,84;5255,81
31/05/2010;Centro;Ana Maria;Esporte e Lazer;2465,52;2958,62
31/05/2010;Nordeste;Ana Maria;Esporte e Lazer;4692,60;5631,12
31/05/2010;Centro;Adriana;Cama, Mesa e Banho;3567,34;4280,81
01/06/2010;Centro;Ricardo;Móveis e Decoração;4266,69;5120,03
01/06/2010;Centro;João Carlos;Eletrodomésticos;1661,41;1993,69
02/06/2010;Norte;Adriana;Móveis e Decoração;2876,35;3451,62
02/06/2010;Sul;Simone;Eletrodomésticos;877,73;1053,28
02/06/2010;Leste;Simone;Cama, Mesa e Banho;2642,77;3171,32
03/06/2010;Sudeste;Carolina;Móveis e Decoração;4880,93;5857,12
03/06/2010;Sudeste;Carolina;Cama, Mesa e Banho;2958,40;3550,08
04/06/2010;Nordeste;Carolina;Cine e Foto;2951,67;3542,00
04/06/2010;Nordeste;Simone;Eletrodomésticos;1784,98;2141,98
04/06/2010;Sudeste;Ana Maria;Eletrônicos;273,12;327,74
05/06/2010;Sudeste;Carolina;Móveis e Decoração;3015,83;3619,00
06/06/2010;Leste;João Carlos;Utilidades Domésticas;4973,69;5968,43
06/06/2010;Sul;Simone;Utilidades Domésticas;1141,15;1369,38
06/06/2010;Norte;Carolina;Cama, Mesa e Banho;1356,33;1627,60
08/06/2010;Centro;Carolina;Esporte e Lazer;3453,90;4144,68
10/06/2010;Nordeste;Ana Maria;Esporte e Lazer;2322,27;2786,72
10/06/2010;Sul;Simone;Utilidades Domésticas;4362,34;5234,81
11/06/2010;Centro;Roberto;Cine e Foto;3548,35;4258,02
12/06/2010;Nordeste;Roberto;Cine e Foto;4748,69;5698,43
12/06/2010;Norte;José Luiz;Esporte e Lazer;1596,73;1916,08
12/06/2010;Oeste;Roberto;Móveis e Decoração;4914,42;5897,30
13/06/2010;Sudeste;Adriana;Eletrônicos;396,29;475,55
14/06/2010;Oeste;Ricardo;Cine e Foto;3515,74;4218,89
14/06/2010;Sudeste;Ana Maria;Eletrônicos;1304,81;1565,77
14/06/2010;Oeste;Ana Maria;Esporte e Lazer;1789,89;2147,87
15/06/2010;Leste;Carolina;Roupas e Acessórios;1851,96;2222,35
16/06/2010;Oeste;João Carlos;Utilidades Domésticas;3046,13;3655,36
16/06/2010;Nordeste;Carolina;Cine e Foto;2435,26;2922,31
18/06/2010;Leste;Simone;Cama, Mesa e Banho;4989,70;5987,64
18/06/2010;Sudeste;João Carlos;Cama, Mesa e Banho;2154,92;2585,90
20/06/2010;Sul;Carolina;Eletrônicos;1446,56;1735,87
20/06/2010;Centro;João Carlos;Cine e Foto;4670,02;5604,02
21/06/2010;Centro;Roberto;Móveis e Decoração;362,43;434,92
21/06/2010;Sul;João Carlos;Casa e Construção;3174,17;3809,00
22/06/2010;Centro;Simone;Esporte e Lazer;518,52;622,22
22/06/2010;Sudeste;Carolina;Eletrônicos;3037,60;3645,12
24/06/2010;Sudeste;Carolina;Utilidades Domésticas;2462,32;2954,78
25/06/2010;Centro;Ana Maria;Esporte e Lazer;1348,70;1618,44
26/06/2010;Sudeste;Ricardo;Roupas e Acessórios;1768,02;2121,62
26/06/2010;Centro;Ana Maria;Esporte e Lazer;1370,13;1644,16
27/06/2010;Norte;João Carlos;Eletrônicos;1573,65;1888,38
27/06/2010;Nordeste;João Carlos;Utilidades Domésticas;746,86;896,23
28/06/2010;Oeste;João Carlos;Esporte e Lazer;1314,69;1577,63
29/06/2010;Sudeste;Carolina;Esporte e Lazer;327,23;392,68
29/06/2010;Sudeste;Ana Maria;Móveis e Decoração;1226,14;1471,37
29/06/2010;Oeste;Simone;Móveis e Decoração;3215,16;3858,19
30/06/2010;Norte;Simone;Cine e Foto;2003,52;2404,22
30/06/2010;Centro;Ricardo;Móveis e Decoração;2423,08;2907,70
01/07/2010;Sudeste;Ricardo;Esporte e Lazer;3119,44;3743,33
01/07/2010;Sudeste;Adriana;Móveis e Decoração;2697,62;3237,14
01/07/2010;Oeste;Ana Maria;Casa e Construção;1484,34;1781,21
01/07/2010;Leste;Ricardo;Eletrodomésticos;4581,62;5497,94
01/07/2010;Leste;Simone;Cama, Mesa e Banho;3900,69;4680,83
01/07/2010;Centro;Simone;Roupas e Acessórios;490,50;588,60
02/07/2010;Sudeste;Simone;Móveis e Decoração;4050,99;4861,19
03/07/2010;Oeste;Ana Maria;Esporte e Lazer;3710,94;4453,13
03/07/2010;Nordeste;José Luiz;Cama, Mesa e Banho;3599,70;4319,64
03/07/2010;Sudeste;Carolina;Cama, Mesa e Banho;4447,09;5336,51
05/07/2010;Norte;Carolina;Esporte e Lazer;2582,46;3098,95
05/07/2010;Sudeste;João Carlos;Cama, Mesa e Banho;2610,34;3132,41
06/07/2010;Sudeste;José Luiz;Esporte e Lazer;2212,68;2655,22
06/07/2010;Centro;João Carlos;Móveis e Decoração;3724,17;4469,00
07/07/2010;Sudeste;Adriana;Cama, Mesa e Banho;1658,41;1990,09
07/07/2010;Leste;Ana Maria;Cine e Foto;3993,86;4792,63
10/07/2010;Sudeste;Ana Maria;Móveis e Decoração;4911,17;5893,40
10/07/2010;Norte;Carolina;Cama, Mesa e Banho;4142,19;4970,63
12/07/2010;Sul;Carolina;Móveis e Decoração;4488,49;5386,19
12/07/2010;Sudeste;João Carlos;Eletrônicos;1875,06;2250,07
12/07/2010;Sul;Simone;Eletrodomésticos;1439,13;1726,96
13/07/2010;Sul;Ana Maria;Móveis e Decoração;2129,69;2555,63
13/07/2010;Centro;José Luiz;Eletrodomésticos;1883,87;2260,64
14/07/2010;Sul;João Carlos;Móveis e Decoração;1540,81;1848,97
15/07/2010;Sudeste;José Luiz;Roupas e Acessórios;1788,01;2145,61
17/07/2010;Sudeste;João Carlos;Roupas e Acessórios;3721,49;4465,79
19/07/2010;Centro;Ana Maria;Eletrônicos;3856,35;4627,62
19/07/2010;Leste;João Carlos;Esporte e Lazer;3367,91;4041,49
20/07/2010;Centro;João Carlos;Cine e Foto;4124,52;4949,42
21/07/2010;Sul;Carolina;Eletrônicos;1646,93;1976,32
21/07/2010;Nordeste;Ana Maria;Eletrodomésticos;4203,23;5043,88
21/07/2010;Sul;Ricardo;Móveis e Decoração;4960,30;5952,36
22/07/2010;Centro;Ricardo;Eletrônicos;1086,37;1303,64
22/07/2010;Sudeste;João Carlos;Cama, Mesa e Banho;253,13;303,76
23/07/2010;Sudeste;Carolina;Casa e Construção;4882,61;5859,13
23/07/2010;Centro;João Carlos;Cine e Foto;4286,86;5144,23
24/07/2010;Oeste;Ana Maria;Casa e Construção;3617,62;4341,14
25/07/2010;Sudeste;José Luiz;Roupas e Acessórios;3227,45;3872,94
25/07/2010;Leste;João Carlos;Cama, Mesa e Banho;1674,88;2009,86
26/07/2010;Leste;João Carlos;Móveis e Decoração;4053,29;4863,95
27/07/2010;Leste;João Carlos;Eletrodomésticos;2203,50;2644,20
27/07/2010;Sudeste;Ricardo;Cama, Mesa e Banho;4688,48;5626,18
28/07/2010;Sul;João Carlos;Móveis e Decoração;1638,34;1966,01
29/07/2010;Centro;Ricardo;Casa e Construção;2400,36;2880,43
30/07/2010;Sudeste;João Carlos;Cine e Foto;3995,67;4794,80
30/07/2010;Centro;Carolina;Eletrodomésticos;1638,68;1966,42
30/07/2010;Leste;Adriana;Casa e Construção;209,43;251,32
31/07/2010;Centro;Carolina;Cine e Foto;4047,52;4857,02
01/08/2010;Centro;João Carlos;Roupas e Acessórios;4532,31;5438,77
02/08/2010;Norte;José Luiz;Cine e Foto;1428,03;1713,64
03/08/2010;Oeste;Adriana;Casa e Construção;2090,53;2508,64
03/08/2010;Sudeste;Ricardo;Utilidades Domésticas;3497,93;4197,52
05/08/2010;Sudeste;João Carlos;Utilidades Domésticas;1106,46;1327,75
05/08/2010;Nordeste;João Carlos;Utilidades Domésticas;2383,13;2859,76
06/08/2010;Centro;Roberto;Cama, Mesa e Banho;3012,45;3614,94
07/08/2010;Sudeste;José Luiz;Cine e Foto;4666,75;5600,10
07/08/2010;Sudeste;Simone;Móveis e Decoração;883,87;1060,64
07/08/2010;Sudeste;Roberto;Eletrônicos;262,76;315,31
07/08/2010;Sul;Ana Maria;Esporte e Lazer;1022,24;1226,69
08/08/2010;Nordeste;José Luiz;Utilidades Domésticas;4544,95;5453,94
08/08/2010;Sudeste;Carolina;Cine e Foto;3400,62;4080,74
09/08/2010;Centro;João Carlos;Cine e Foto;3132,89;3759,47
09/08/2010;Leste;Ricardo;Utilidades Domésticas;729,02;874,82
10/08/2010;Nordeste;Ricardo;Esporte e Lazer;2388,05;2865,66
10/08/2010;Sudeste;José Luiz;Esporte e Lazer;202,71;243,25
10/08/2010;Centro;Simone;Esporte e Lazer;4024,52;4829,42
11/08/2010;Sul;Ana Maria;Casa e Construção;1674,20;2009,04
12/08/2010;Sudeste;Adriana;Utilidades Domésticas;2526,41;3031,69
12/08/2010;Leste;Ana Maria;Cine e Foto;3807,52;4569,02
13/08/2010;Sudeste;João Carlos;Roupas e Acessórios;1887,44;2264,93
13/08/2010;Centro;João Carlos;Eletrodomésticos;2489,46;2987,35
14/08/2010;Nordeste;Carolina;Eletrônicos;3833,38;4600,06
15/08/2010;Sul;Adriana;Utilidades Domésticas;351,73;422,08
15/08/2010;Sul;José Luiz;Eletrodomésticos;4778,92;5734,70
15/08/2010;Sudeste;João Carlos;Cama, Mesa e Banho;4531,40;5437,68
16/08/2010;Norte;Adriana;Utilidades Domésticas;1815,25;2178,30
17/08/2010;Sul;Simone;Móveis e Decoração;3307,32;3968,78
18/08/2010;Sudeste;Simone;Eletrônicos;3583,02;4299,62
18/08/2010;Centro;Carolina;Eletrodomésticos;251,38;301,66
18/08/2010;Nordeste;Ricardo;Móveis e Decoração;4515,95;5419,14
19/08/2010;Sudeste;Adriana;Eletrodomésticos;1337,18;1604,62
20/08/2010;Leste;Ana Maria;Casa e Construção;890,26;1068,31
22/08/2010;Sudeste;Ana Maria;Eletrodomésticos;3911,57;4693,88
22/08/2010;Leste;João Carlos;Roupas e Acessórios;2165,89;2599,07
22/08/2010;Sudeste;João Carlos;Utilidades Domésticas;2552,66;3063,19
23/08/2010;Norte;Simone;Cama, Mesa e Banho;4628,43;5554,12
24/08/2010;Norte;João Carlos;Roupas e Acessórios;3217,13;3860,56
25/08/2010;Oeste;João Carlos;Eletrodomésticos;3952,74;4743,29
25/08/2010;Leste;João Carlos;Cama, Mesa e Banho;3840,37;4608,44
26/08/2010;Sudeste;Ricardo;Cine e Foto;3190,96;3829,15
27/08/2010;Sul;João Carlos;Eletrodomésticos;2979,55;3575,46
27/08/2010;Nordeste;Roberto;Casa e Construção;3185,51;3822,61
28/08/2010;Leste;João Carlos;Cine e Foto;906,54;1087,85
29/08/2010;Sudeste;Ricardo;Cine e Foto;3625,77;4350,92
30/08/2010;Leste;Carolina;Eletrodomésticos;3841,32;4609,58
30/08/2010;Oeste;Carolina;Eletrônicos;1322,46;1586,95
01/09/2010;Nordeste;João Carlos;Casa e Construção;3112,65;3735,18
