DATA;COD_PROD;DESCRICAO;MODELO;MARCA;PORTAS;TIPO;CAMBIO;COMBUSTIVEL;FILIAL;VENDEDOR;COR;FORMA_PGTO;GERENTE;UF;ESTADO;CIDADE;PRECO_VENDA;ACESSORIOS; TOTAL_VENDAS 
22/01/2016;FIP002;Fiat Palio Fire 1.0 8v;Palio;Fiat;4.0;Passeio;Manual;Flex;Florianópolis;Rodrigo;Grafite;Entrada + 48X;Juliana;SC;Santa Catarina;Florianópolis;34174,58;5686,93; 39.861,51 
22/01/2016;FOF002;Ford Focus Sedan GLX 16v;Focus;Ford;4.0;Passeio;Automático;Flex;São Paulo;Cristina;Prata;Entrada + 48X;Fabio;SP;São Paulo;São Paulo;85059,39;4421,63; 89.481,02 
22/01/2016;FOF002;Ford Focus Sedan GLX 16v;Focus;Ford;4.0;Passeio;Automático;Flex;Florianópolis;Cristina;Prata;Entrada + 48X;Fabio;SC;Santa Catarina;Florianópolis;97242,59;2991,49; 100.234,08 
22/01/2016;REL003;Renault Logan 1.0 Authentique 16v;Logan;Renault;4.0;Passeio;Manual;Flex;Salvador;Aparecida;Branco;Entrada + 36X;Adriana;BA;Bahia;Salvador;48640,27;3553,48; 52.193,75 
22/01/2016;REL003;Renault Logan 1.0 Authentique 16v;Logan;Renault;4.0;Passeio;Manual;Flex;Florianópolis;Aparecida;Branco;Entrada + 36X;Adriana;SC;Santa Catarina;Florianópolis;64662,37;5627,88; 70.290,25 
22/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Anselmo;Prata;Entrada + 60X;Andrey;MG;Minas Gerais;Belo Horizonte;44806,89;6434,42; 51.241,31 
22/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Aparecida;Branco;Entrada + 36X;Adriana;MG;Minas Gerais;Belo Horizonte;59382,42;4357,3; 63.739,72 
22/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Cristina;Prata;Entrada + 48X;Fabio;MG;Minas Gerais;Belo Horizonte;69122,21;2749,29; 71.871,50 
22/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Rodrigo;Grafite;Entrada + 48X;Juliana;MG;Minas Gerais;Belo Horizonte;39048,08;9788,11; 48.836,19 
22/01/2016;VWV005;Volkswagen Voyage Trendline 1.6 MI 8v;Voyage;Volkswagen;4.0;Passeio;Manual;Flex;Curitiba;Anselmo;Prata;Entrada + 60X;Andrey;PR;Paraná;Curitiba;54630,07;4217,47; 58.847,54 
22/01/2016;VWV005;Volkswagen Voyage Trendline 1.6 MI 8v;Voyage;Volkswagen;4.0;Passeio;Manual;Flex;Florianópolis;Anselmo;Prata;Entrada + 60X;Andrey;SC;Santa Catarina;Florianópolis;50801,12;6851,32; 57.652,44 
23/01/2016;FIB007;Fiat Bravo Essence 1.8 16v;Bravo;Fiat;4.0;Passeio;Manual;Flex;São Paulo;Mauro;Cinza;Entrada + 60X;Fabio;SP;São Paulo;São Paulo;97984,3;3240,37; 101.224,67 
23/01/2016;FIB007;Fiat Bravo Essence 1.8 16v;Bravo;Fiat;4.0;Passeio;Manual;Flex;Florianópolis;Mauro;Cinza;Entrada + 60X;Fabio;SC;Santa Catarina;Florianópolis;70755,82;3415,79; 74.171,61 
23/01/2016;RES001;Renault Sandero 1.0 Authentique 16v;Sandero;Renault;4.0;Passeio;Manual;Flex;Belo Horizonte;Mauro;Cinza;Entrada + 60X;Fabio;MG;Minas Gerais;Belo Horizonte;82937,82;4174,68; 87.112,50 
24/01/2016;FIS003;Fiat Strada Working 1.4 8v;Strada;Fiat;2.0;Utilitário;Manual;Flex;São Paulo;Mauro;Prata;Entrada + 24X;Fabio;SP;São Paulo;São Paulo;53028,48;5795,49; 58.823,97 
